date,code,high,low,close,code_name
2022-12-21,sh.600036,36.23,35.71,35.95,招商银行
2022-12-21,sh.600389,46.28,43.7,45.5,江山股份
2022-12-21,sh.600519,1739.0,1717.65,1739.0,贵州茅台
2022-12-21,sh.601012,44.69,43.55,43.61,隆基绿能
2022-12-21,sh.688598,234.18,226.16,227.5,金博股份
2022-12-21,sz.002594,262.85,259.6,260.8,比亚迪
2022-12-21,sz.300316,68.6,64.88,65.52,晶盛机电
2022-12-22,sh.600036,36.85,36.25,36.5,招商银行
2022-12-22,sh.600389,46.0,42.56,42.83,江山股份
2022-12-22,sh.600519,1783.0,1745.0,1768.0,贵州茅台
2022-12-22,sh.601012,43.6,40.48,40.86,隆基绿能
2022-12-22,sh.688598,229.8,216.6,218.0,金博股份
2022-12-22,sz.002594,263.5,258.51,259.19,比亚迪
2022-12-22,sz.300316,66.29,60.11,60.6,晶盛机电
2022-12-23,sh.600036,36.8,36.15,36.37,招商银行
2022-12-23,sh.600389,43.21,41.99,43.1,江山股份
2022-12-23,sh.600519,1782.0,1745.0,1771.0,贵州茅台
2022-12-23,sh.601012,41.09,39.88,40.54,隆基绿能
2022-12-23,sh.688598,219.04,208.2,211.2,金博股份
2022-12-23,sz.002594,256.4,250.5,252.18,比亚迪
2022-12-23,sz.300316,61.96,59.39,60.15,晶盛机电
2022-12-26,sh.600036,36.8,35.89,35.95,招商银行
2022-12-26,sh.600389,45.06,42.85,44.38,江山股份
2022-12-26,sh.600519,1771.0,1735.02,1742.06,贵州茅台
2022-12-26,sh.601012,42.23,39.5,42.0,隆基绿能
2022-12-26,sh.688598,220.87,208.71,220.49,金博股份
2022-12-26,sz.002594,263.5,252.19,262.42,比亚迪
2022-12-26,sz.300316,61.0,58.58,60.72,晶盛机电
2022-12-27,sh.600036,36.98,36.33,36.67,招商银行
2022-12-27,sh.600389,44.75,43.37,44.65,江山股份
2022-12-27,sh.600519,1747.15,1725.5,1733.0,贵州茅台
2022-12-27,sh.601012,42.75,41.77,42.39,隆基绿能
