证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
粤高速Ａ,2023-03-31,409848394.33,739601642.65,000429,364198795.39,1154573212.16,0.469,4.324,4.534,0.196024,64.058,68.46
张家界,2023-03-31,-30047728.28,-37226376.21,000430,65567687.39,64047448.06,-0.03,-2.786,2.6646,-0.074225,-58.123,-2.37
晨鸣纸业,2023-03-31,-275409967.37,-330424490.36,000488,5508548242.09,6155915692.16,0.308,-1.463,5.9827,-0.092427,-5.368,10.52
山东路桥,2023-03-31,236841572.74,408538154.83,000498,9452837271.71,10555486845.49,-1.295,1.43,6.0349,0.11003,3.87,10.45
武商集团,2023-03-31,131860206.61,173408364.21,000501,1106548242.32,2054468957.64,1.036,1.204,14.2474,0.171471,8.441,46.14
国新健康,2023-03-31,-43865115.01,-42486095.47,000503,57572997.62,55766199.77,-0.092,-6.566,0.737,-0.048394,-76.186,-3.24
南华生物,2023-03-31,-1976045.11,-166240.48,000504,10871092.36,34739572.68,0.001,-16.753,0.0379,-0.006342,-0.479,68.71
京粮控股,2023-03-31,37265080.42,61292421.12,000505,3105714704.3,3206922214.64,-0.131,1.203,4.2626,0.051262,1.911,3.16
中润资源,2023-03-31,-37898030.05,-40005183.44,000506,79102783.2,70876731.03,-0.011,-6.265,0.6512,-0.040794,-56.443,-11.61
珠海港,2023-03-31,60913203.89,144330427.36,000507,933219021.17,1259081438.48,0.226,0.935,5.4603,0.066229,11.463,25.88
华塑控股,2023-03-31,-3990464.85,-3975845.2,000509,125337977.37,134787863.5,-0.008,-3.037,0.1225,-0.003719,-2.95,7.01
新金路,2023-03-31,-24285633.36,-22236983.85,000510,801782668.31,836687888.06,-0.308,-1.722,2.3148,-0.039866,-2.658,4.17
丽珠集团,2023-03-31,581909331.89,738294044.04,000513,1260381376.05,3413055191.98,0.32,4.074,15.2689,0.621995,21.631,63.07
渝 开 发,2023-03-31,-20041012.77,-27982204.36,000514,57433391.62,47084885.42,-0.095,-0.551,4.3131,-0.023752,-59.429,-21.98
国际医学,2023-03-31,-74740547.17,-95210022.42,000516,972385400.75,1059092457.42,0.098,-1.786,1.8393,-0.032849,-8.99,8.19
荣安地产,2023-03-31,648299336.51,710144328.16,000517,4815138173.69,5185035291.69,0.411,6.595,3.0876,0.203617,13.696,7.13
四环生物,2023-03-31,-18959108.45,-21889366.63,000518,18072240.23,57013482.58,0.003,-3.522,0.5228,-0.018415,-38.393,68.3
中兵红箭,2023-03-31,-34282587.36,-16880924.56,000519,583274283.35,776168384.52,-0.51,-0.353,6.9819,-0.024618,-2.175,24.85
长航凤凰,2023-03-31,-8463970.5,-8400965.91,000520,227150041.76,230047629.18,-0.013,-1.554,0.5382,-0.008363,-3.652,1.26
长虹美菱,2023-03-31,122540351.1,130566430.04,000521,4288663147.76,5025237527.25,-0.361,2.314,5.1424,0.11898,2.598,14.66
广州浪奇,2023-03-31,3796442.51,4903456.77,000523,564655599.5,631525844.54,0.1,0.243,0.8517,0.002068,0.776,10.59
